cluster,state,district,date_announced,date_last_onset,category,status,cases_new,cases_total,cases_active,tests,icu,deaths,recovered,summary_bm,summary_en
KLUSTER SENTOSA,Sarawak,"KUCHING, BAU, SAMARAHAN & SERIAN",21/7/2020,21/7/2020,highRisk,ended,0,31,0,1064,0,0,31,,
KLUSTER HYDE PARK,Selangor,KLANG ,22/7/2020,19/7/2020,import,ended,0,4,0,24,0,0,4,,
KLUSTER PUI MELBOURNE,Sarawak,KUCHING,22/7/2020,22/7/2020,import,ended,0,3,0,102,0,0,3,,
KLUSTER PUI RAMNAD,"W.P. Kuala Lumpur,W.P. Putrajaya",TITIWANGSA,22/7/2020,22/7/2020,import,ended,0,3,0,19,0,0,3,,
KLUSTER PUI AL KHOBAR,Selangor,PETALING,24/7/2020,21/7/2020,import,ended,0,2,0,8,0,0,2,,
KLUSTER ELSA,Pahang,KUANTAN,24/7/2020,23/7/2020,import,ended,0,4,0,109,0,0,4,,
KLUSTER BUKIT TIRAM,"Johor, Selangor",JOHOR BAHRU & PETALING,25/7/2020,25/7/2020,religious,ended,0,10,0,144,0,0,10,,
KLUSTER SATOK,Sarawak,KUCHING,28/7/2020,28/7/2020,workplace,ended,0,4,0,932,0,0,4,,
KLUSTER PUI SIVAGANGGA,"Kedah,Pulau Pinang,Perlis","KUBANG PASU, PADANG TERAP, KULIM, KANGAR, SEBERANG PERAI SELATAN & SEBERANG PERAI TENGAH",28/7/2020,28/7/2020,import,ended,0,45,0,6056,0,0,45,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER REMBAU,Negeri Sembilan,REMBAU,4/8/2020,14/3/2020,religious,ended,0,53,0,538,0,0,53,,
KLUSTER TUJUH SERANGKAI,Sabah,TUARAN & KOTA KINABALU ,10/8/2020,11/4/2020,community,ended,0,399,0,6372,0,2,397,,
KLUSTER BAH BANGAT,W.P. Labuan,LABUAN ,10/8/2020,21/10/2020,community,ended,0,11,0,803,0,0,11,,
KLUSTER JALAN PANTAI,"Selangor,W.P. Kuala Lumpur",LEMBAH PANTAI & PETALING,10/8/2020,21/10/2020,community,ended,0,12,0,519,0,0,12,,
KLUSTER BAH KASTURI," Negeri Sembilan,Perak,Selangor,W.P. Kuala Lumpur,W.P. Putrajaya","SEREMBAN, CHERAS, TITIWANGSA, PUTRAJAYA,PETALING, KLANG, KUALA LANGAT, HULU LANGAT, GOMBAK & MUALLIM",10/8/2020,21/10/2020,community,ended,0,28,0,671,0,0,28,,
KLUSTER BAH ARNAB,Sarawak,KUCHING,10/8/2020,17/11/2020,community,ended,0,12,0,72,0,0,12,,
KLUSTER TANAMERA,Sabah,TAWAU & TUARAN,10/8/2020,26/11/2020,community,ended,0,89,0,160,0,0,89,,
KLUSTER BERENDAM,"Johor,Melaka","MELAKA TENGAH, ALOR GAJAH, JASIN & TANGKAK",11/8/2020,12/2/2020,workplace,ended,0,44,0,3190,0,0,44,,
KLUSTER WISMA SABERKAS,Sarawak,KUCHING & SAMARAHAN,11/8/2020,14/11/2020,workplace,ended,0,44,0,1248,0,0,44,,
KLUSTER IKHTISAS,"Kelantan,Negeri Sembilan,Selangor","PETALING, KLANG, JELI & SEREMBAN",11/8/2020,11/12/2020,highRisk,ended,0,25,0,382,0,0,25,,
KLUSTER TAPAK BINA DARUL,"Negeri Sembilan,Selangor,W.P. Kuala Lumpur","PETALING, SEPANG, KUALA LANGAT, KLANG, TITIWANGSA, CHERAS, LEMBAH PANTAI & SEREMBAN",12/8/2020,23/12/2020,workplace,ended,0,22,0,253,0,0,22,,
KLUSTER SERULING,"Melaka,Negeri Sembilan, Perak, Selangor, W.P. Putrajaya","KLANG, HULU SELANGOR, PETALING, GOMBAK, KUALA LANGAT, SABAK BERNAM, HULU LANGAT, SEPANG, KUALA SELANGOR, MUALLIM, MELAKA TENGAH, TAMPIN & PUTRAJAYA",12/8/2020,26/2/2021,workplace,ended,0,2675,0,3606,0,1,2674,,
KLUSTER TAWAR,"Kedah,Pulau Pinang","BALING, KUALA MUDA, KULIM, SIK, BARAT DAYA, TIMUR LAUT & SEBERANG PERAI UTARA",13/8/2020,9/12/2020,religious,ended,0,92,0,18272,0,3,89,,
KLUSTER MUDA,Kedah,KUALA MUDA & KOTA SETAR,14/8/2020,14/8/2020,workplace,ended,0,3,0,325,0,0,3,,
KLUSTER SALA,Kedah,"YAN, KUALA MUDA, KULIM & KOTA SETAR",15/8/2020,17/8/2020,community,ended,0,11,0,1169,0,0,11,,
KLUSTER ALAM (KAPAL),Sarawak,BINTULU,20/8/2020,8/8/2020,import,ended,0,8,0,27,0,0,8,,
KLUSTER MAJU,W.P. Kuala Lumpur,TITIWANGSA,21/8/2020,17/8/2020,workplace,ended,0,3,0,675,0,0,3,,
KLUSTER MV GLEN (KAPAL),Selangor,KLANG,30/8/2020,9/1/2020,import,ended,0,3,0,93,0,0,3,,
KLUSTER TELAGA,Kedah,"KOTA SETAR,  PADANG TERAP,KUBANG PASU, KUALA MUDA & POKOK SENA",30/8/2020,9/10/2020,highRisk,ended,0,16,0,5043,0,0,16,,
KLUSTER BUNGA (KAPAL)," Negeri Sembilan,Selangor",SEPANG & PORT DICKSON,31/8/2020,17/9/2020,import,ended,0,11,0,59,0,0,11,,
KLUSTER MERANTI,"Selangor,W.P. Putrajaya",SEPANG & PUTRAJAYA,8/9/2020,8/9/2020,workplace,ended,0,2,0,58,0,0,2,,
KLUSTER KURAU,"Pulau Pinang,Perak","KINTA, KERIAN & SEBERANG PERAI TENGAH  ",8/9/2020,8/10/2020,community,ended,0,5,0,202,0,0,5,,
KLUSTER BAH LADA,Perak,PERAK TENGAH & HILIR PERAK,10/9/2020,10/8/2020,community,ended,0,4,0,56,0,0,4,,
KLUSTER ATAP,Sabah,KOTA KINABALU & PUTATAN,10/9/2020,10/8/2020,workplace,ended,0,4,0,48,0,0,4,,
KLUSTER BAH SAHABAT,Terengganu,"MARANG, KUALA TERENGGANU & KUALA NERUS",10/9/2020,10/8/2020,community,ended,0,11,0,53,0,0,11,,
KLUSTER HARMONI,W.P. Putrajaya,PUTRAJAYA,11/9/2020,11/10/2020,workplace,ended,0,6,0,80,0,0,6,,
KLUSTER NUMBAK,Sabah,KOTA KINABALU,11/9/2020,22/11/2020,community,ended,0,12,0,24,0,1,11,,
KLUSTER PADANG,Johor,"KOTA TINGGI, JOHOR BAHRU",11/9/2020,24/11/2020,workplace,ended,0,17,0,1161,0,0,17,,
KLUSTER SERI TERAPI,"Melaka,Selangor,W.P. Kuala Lumpur","KEPONG, CHERAS, LEMBAH PANTAI, GOMBAK, PETALING, HULU LANGAT & ALOR GAJAH",11/9/2020,26/11/2020,community,ended,0,31,0,493,0,0,31,,
KLUSTER NAHABA,Sabah,"KOTA BELUT, SIPITANG & TUARAN",11/9/2020,31/12/2020,community,ended,0,69,0,1150,0,0,69,,
KLUSTER PERIGI,Selangor,"KLANG, KUALA LANGAT, HULU LANGAT, KUALA SELANGOR, HULU SELANGOR & PETALING",11/9/2020,22/2/2021,community,ended,0,1113,0,2477,0,0,1113,,
KLUSTER BANDAR IMPIAN,"Johor,Kelantan,Perak","KLUANG, PASIR PUTEH & KUALA KANGSAR",12/9/2020,12/12/2020,community,ended,0,12,0,120,0,1,11,,
KLUSTER JALAN KEMANG,Negeri Sembilan,PORT DICKSON & SEREMBAN,12/9/2020,13/12/2020,workplace,ended,0,22,0,308,0,0,22,,
KLUSTER TAPAK BINA IKON BINTANG,"Selangor,W.P. Kuala Lumpur","LEMBAH PANTAI, KEPONG, CHERAS & HULU LANGAT",12/9/2020,29/12/2020,workplace,ended,0,159,0,603,0,0,159,,
KLUSTER KUPI-KUPI,Sabah,PENAMPANG & KOTA KINABALU,12/9/2020,30/12/2020,workplace,ended,0,38,0,79,0,0,38,,
KLUSTER PULAU,Sabah,"KUNAK, SEMPORNA & TAWAU",15/9/2020,14/10/2020,community,ended,0,53,0,1035,0,0,53,,
KLUSTER SELAMAT,Sabah,SEMPORNA,17/9/2020,25/9/2020,community,ended,0,25,0,327,0,0,25,,
KLUSTER BAKAU,Sabah,SEMPORNA,19/9/2020,30/9/2020,community,ended,0,18,0,182,0,1,17,,
KLUSTER ARA," Pulau Pinang, Sabah",SANDAKAN & BARAT DAYA,20/9/2020,15/9/2020,community,ended,0,2,0,252,0,0,2,,
KLUSTER KUARTERS,Sabah,"TONGOD, TELUPID & KINABATANGAN",21/9/2020,10/10/2020,highRisk,ended,0,9,0,1432,0,0,9,,
KLUSTER BANGAU-BANGAU,Sabah,SEMPORNA & TAWAU,22/9/2020,19/10/2020,community,ended,0,432,0,1010,0,4,428,,
KLUSTER UDIN,Sabah,TAWAU,23/9/2020,22/9/2020,community,ended,0,3,0,138,0,0,3,,
KLUSTER ORKIM (KAPAL),Johor,JOHOR BAHRU,25/9/2020,24/9/2020,import,ended,0,2,0,32,0,0,2,,
KLUSTER SETAPAK,W.P. Kuala Lumpur,TITIWANGSA,27/9/2020,14/9/2020,community,ended,0,3,0,154,0,0,3,,
KLUSTER KAMPUNG SAKONG,Sabah,SEMPORNA,27/9/2020,30/9/2020,community,ended,0,10,0,66,0,0,10,,
KLUSTER BUANG SAYANG," Negeri Sembilan, Sabah,W.P. Kuala Lumpur","SIPITANG, PITAS, PUTATAN, TITIWANGSA, SEREMBAN & REMBAU",27/9/2020,19/10/2020,community,ended,0,17,0,415,0,0,17,,
KLUSTER JALAN APAS,Selangor,KLANG,28/9/2020,28/9/2020,community,ended,0,9,0,313,0,0,9,,
KLUSTER JALAN UTARA,Sabah,SANDAKAN,29/9/2020,28/9/2020,community,ended,0,2,0,194,0,0,2,,
KLUSTER BAKAWALI,Johor,JOHOR BAHRU,29/9/2020,30/9/2020,workplace,ended,0,15,0,372,0,0,15,,
KLUSTER JALAN BOMBA,Sabah,SANDAKAN,29/9/2020,12/10/2020,community,ended,0,102,0,377,0,2,100,,
KLUSTER BENTENG PK,Selangor,KLANG & KUALA LANGAT,29/9/2020,18/11/2020,import,ended,0,80,0,469,0,0,80,,
KLUSTER HIGHWAY,Sabah,KOTA BELUD,10/10/2020,11/2/2020,workplace,ended,0,48,0,158,0,0,48,,
KLUSTER PUTRA,Sarawak,BINTULU,10/10/2020,10/9/2020,community,ended,0,5,0,190,0,0,5,,
KLUSTER TASIK,"Selangor,Sarawak","MIRI, PETALING, KLANG & GOMBAK ",10/10/2020,19/10/2020,religious,ended,0,24,0,635,0,0,24,,
KLUSTER SIMERA,"Johor,Kelantan,Negeri Sembilan,Pahang,Perak,Selangor,Terengganu,W.P. Kuala Lumpur,W.P. Putrajaya","BESUT, KUANTAN, PETALING, KLANG,  HULU LANGAT, GOMBAK, PORT DICKSON, MANJUNG, HILIR PERAK, JOHOR BAHRU, MUAR, LEMBAH PANTAI, PUTRAJAYA & TANAH MERAH",10/10/2020,30/10/2020,workplace,ended,0,84,0,1152,0,0,84,,
KLUSTER UTAMA,"Melaka,Selangor,W.P. Kuala Lumpur","GOMBAK, HULU LANGAT, PETALING, KUALA SELANGOR, SEPANG, ALOR GAJAH, LEMBAH PANTAI, TITIWANGSA, KEPONG & CHERAS ",10/10/2020,25/11/2020,workplace,ended,0,283,0,1229,0,0,283,,
KLUSTER BAH MANGGIS,"Negeri Sembilan, Selangor,Sabah","TAWAU, KUALA LANGAT, KLANG, GOMBAK, SEPANG, KUALA SELANGOR, SEREMBAN & PORT DICKSON",10/10/2020,17/1/2021,community,ended,0,417,0,2619,0,0,417,,
KLUSTER KUBE,"Kelantan,Selangor","KOTA BAHRU, TANAH MERAH & PETALING",11/10/2020,19/11/2020,community,ended,0,27,0,1038,0,0,27,,
KLUSTER TATAHAN,Sabah,KOTA KINABALU,11/10/2020,21/11/2020,community,ended,0,22,0,33,0,1,21,,
KLUSTER LIAWAN,Sabah,KENINGAU,11/10/2020,24/11/2020,community,ended,0,51,0,396,0,1,50,,
KLUSTER GK TAWAU,Sabah,TAWAU,11/10/2020,1/3/2021,detentionCentre,ended,0,102,0,685,0,0,102,,
KLUSTER TAPAK BINA JALAN BUKIT," Negeri Sembilan,Selangor",HULU LANGAT & SEREMBAN,12/10/2020,14/12/2020,workplace,ended,0,53,0,121,0,0,53,,
KLUSTER TAPAK BINA CONDONG,W.P. Kuala Lumpur,"LEMBAH PANTAI, TITIWANGSA & CHERAS",12/10/2020,15/12/2020,workplace,ended,0,30,0,291,0,0,30,,
KLUSTER JALAN DALAM,Johor,"KULAI, BATU PAHAT, JOHOR BAHRU & PONTIAN",12/10/2020,17/12/2020,workplace,ended,0,31,0,261,0,0,31,,
KLUSTER TAPAK BINA JALAN STADIUM,"Kedah,Selangor,W.P. Kuala Lumpur","TITIWANGSA, LEMBAH PANTAI, CHERAS, KEPONG, PADANG TERAP, SEPANG & GOMBAK",12/10/2020,21/2/2021,workplace,ended,0,690,0,1351,0,0,690,,
KLUSTER TENUN MERAH,Johor,BATU PAHAT,12/10/2020,1/5/2021,workplace,ended,0,95,0,288,0,0,95,,
KLUSTER BAH KENANGAN,Selangor,HULU LANGAT ,13/10/2020,11/10/2020,community,ended,0,29,0,61,0,0,29,,
KLUSTER BINA,Sabah,BEAUFORT & SIPITANG,13/10/2020,22/10/2020,workplace,ended,0,25,0,83,0,0,25,,
KLUSTER BESTARI,Sabah,SANDAKAN ,13/10/2020,24/10/2020,community,ended,0,28,0,61,0,0,28,,
KLUSTER SEMARAK,Sabah,TAWAU,13/10/2020,10/12/2020,community,ended,0,14,0,19,0,0,14,,
KLUSTER SABINDO,Sabah,TAWAU,13/10/2020,10/12/2020,workplace,ended,0,14,0,76,0,0,14,,
KLUSTER PENJARA SEBERANG PERAI," Pulau Pinang, Perlis","SEBERANG PERAI SELATAN, SEBERANG PERAI UTARA & ARAU",13/10/2020,3/4/2021,detentionCentre,ended,0,776,0,3266,0,0,776,,
KLUSTER KENCANA,"Johor,Perak,Terengganu,W.P. Kuala Lumpur","PETALING, HULU LANGAT, KLANG, GOMBAK, CHERAS, JOHOR BAHRU, BATU PAHAT, PONTIAN & KUALA NERUS ",14/10/2020,20/10/2020,workplace,ended,0,26,0,685,0,0,26,,
KLUSTER SAGUKING,W.P. Labuan,LABUAN,15/10/2020,12/6/2020,community,ended,0,414,0,3623,0,2,412,,
KLUSTER BAH PASIR," Negeri Sembilan, W.P. Putrajaya",PORT DICKSON & PUTRAJAYA,15/10/2020,15/10/2020,community,ended,0,5,0,90,0,0,5,,
KLUSTER BAH PENGKALAN,Perak,HULU PERAK,15/10/2020,15/10/2020,education,ended,0,6,0,354,0,0,6,,
KLUSTER OLIVE,"Selangor,Sabah","HULU LANGAT, PENAMPANG & KOTA MARUDU",15/10/2020,19/10/2020,religious,ended,0,18,0,285,0,0,18,,
KLUSTER BUNTAR,"Johor,Kedah,Pulau Pinang,Perak,Selangor,W.P. Kuala Lumpur,W.P. Putrajaya","KUALA MUDA, HILIR PERAK, KAMPAR, BATANG PADANG, KERIAN, KINTA, HULU PERAK, KUALA KANGSAR, LARUT, MATANG & SELAMA, KEPONG, TITIWANGSA, LEMBAH PANTAI, PUTRAJAYA, BATU PAHAT, JOHOR BAHRU, PETALING, SEPANG & SEBERANG PERAI SELATAN",16/10/2020,12/6/2020,workplace,ended,0,252,0,2888,0,4,248,,
KLUSTER LEKIR,Perak,MANJUNG & KERIAN,16/10/2020,23/10/2020,community,ended,0,18,0,221,0,0,18,,
KLUSTER MERBOK,Selangor,"KUALA LANGAT, KLANG, HULU LANGAT, PETALING & KUALA SELANGOR",16/10/2020,11/11/2020,workplace,ended,0,35,0,765,0,0,35,,
KLUSTER SENTRAL,"Selangor,W.P. Kuala Lumpur","KEPONG, CHERAS, TITIWANGSA, LEMBAH PANTAI & PETALING ",17/10/2020,11/5/2020,highRisk,ended,0,19,0,366,0,1,18,,
KLUSTER MENARA,"Melaka,Perak,Selangor,Terengganu,W.P. Kuala Lumpur,W.P. Putrajaya","HULU LANGAT, PETALING, GOMBAK, KLANG, SEPANG, KUALA LANGAT, CHERAS, TITIWANGSA, LEMBAH PANTAI, WP PUTRAJAYA, LARUT MATANG, SELAMA, KUALA NERUS & MELAKA TENGAH",17/10/2020,30/10/2020,workplace,ended,0,85,0,548,0,0,85,,
KLUSTER BAH BEMBAN,"Terengganu,Sabah",DUNGUN & KOTA KINABALU,17/10/2020,16/11/2020,community,ended,0,12,0,222,0,0,12,,
KLUSTER KELADI,Selangor,KLANG & KUALA LANGAT,17/10/2020,13/1/2021,workplace,ended,0,61,0,361,0,0,61,,
KLUSTER ALMA,"Kedah,Pulau Pinang,Perak","SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN, SEBERANG PERAI UTARA, KERIAN, BANDAR BAHARU & KULIM",18/10/2020,11/3/2020,community,ended,0,46,0,818,0,0,46,,
KLUSTER BAH LAYANGAN,"Negeri , W.P. Labuan",LABUAN & REMBAU ,18/10/2020,26/10/2020,community,ended,0,14,0,142,0,0,14,,
KLUSTER AUTO," Negeri Sembilan, Selangor,W.P. Kuala Lumpur,W.P. Putrajaya","PETALING, KLANG, KUALA LANGAT, SEPANG, GOMBAK, HULU LANGAT, KUALA SELANGOR, SEREMBAN, TITIWANGSA & PUTRAJAYA",18/10/2020,14/11/2020,community,ended,0,128,0,1173,0,1,127,,
KLUSTER PENJARA KEPAYAN,Sabah,"KOTA KINABALU, PAPAR, PENAMPANG, SANDAKAN & PUTATAN",18/10/2020,22/2/2021,detentionCentre,ended,0,1900,0,3667,0,1,1899,,
KLUSTER BUKIT,Melaka,"MELAKA TENGAH, ALOR GAJAH & JASIN",19/10/2020,11/4/2020,highRisk,ended,0,17,0,631,0,0,17,,
KLUSTER HENTIAN," Negeri Sembilan,Perak,Selangor,W.P. Kuala Lumpur,W.P. Putrajaya","HULU LANGAT, PETALING, SEPANG, KLANG, GOMBAK, KUALA LANGAT, CHERAS, TITIWANGSA, PUTRAJAYA, SEREMBAN,  PORT DICKSON, KUALA PILAH, BATANG PADANG",19/10/2020,13/4/2021,workplace,ended,0,3019,0,13372,0,0,3019,,
KLUSTER KERTANG,Sabah,KOTA BELUD,20/10/2020,11/8/2020,workplace,ended,0,42,0,784,0,0,42,,
KLUSTER INAI,Sabah,KUDAT ,21/10/2020,11/2/2020,community,ended,0,63,0,120,0,0,63,,
KLUSTER CAHAYA,"Negeri Sembilan,Selangor,W.P. Kuala Lumpur","PETALING, TAMPIN, TITIWANGSA, LEMBAH PANTAI, KEPONG & CHERAS",21/10/2020,11/3/2020,religious,ended,0,55,0,458,0,0,55,,
KLUSTER MELATI,"Pahang,Perak, Selangor,W.P. Kuala Lumpur","TITIWANGSA, KEPONG, CHERAS, KLANG,  PETALING, HULU LANGAT, KUANTAN & HILIR PERAK",21/10/2020,11/9/2020,workplace,ended,0,77,0,398,0,1,76,,
KLUSTER TEMPAYAN,Sabah,PENAMPANG & KOTA KINABALU ,21/10/2020,11/9/2020,workplace,ended,0,35,0,253,0,0,35,,
KLUSTER LONG,"Selangor,W.P. Kuala Lumpur","HULU LANGAT, PETALING, SEPANG, TITIWANGSA, LEMBAH PANTAI & KEPONG",21/10/2020,24/10/2020,community,ended,0,26,0,460,0,0,26,,
KLUSTER BAH KOTA," Negeri Sembilan,Selangor","SEPANG, PETALING & SEREMBAN",21/10/2020,27/10/2020,community,ended,0,13,0,181,0,0,13,,
KLUSTER BINA LABUAN,W.P. Labuan,LABUAN,21/10/2020,13/11/2020,workplace,ended,0,50,0,214,0,1,49,,
KLUSTER BASUNG,Sabah,KUDAT,21/10/2020,14/11/2020,workplace,ended,0,94,0,700,0,0,94,,
KLUSTER JAMBU," Pulau Pinang, Selangor",HULU LANGAT & TIMUR LAUT,22/10/2020,11/1/2020,community,ended,0,18,0,147,0,0,18,,
KLUSTER SOFI,Negeri Sembilan,SEREMBAN,22/10/2020,11/1/2020,education,ended,0,107,0,174,0,0,107,,
KLUSTER BAH MUTIARA,"Negeri Sembilan,Selangor,W.P. Kuala Lumpur","HULU LANGAT, TITIWANGSA, LEMBAH PANTAI & SEREMBAN",22/10/2020,21/10/2020,community,ended,0,10,0,96,0,0,10,,
KLUSTER UMBOO,Melaka,ALOR GAJAH & MELAKA TENGAH ,22/10/2020,21/10/2020,detentionCentre,ended,0,4,0,418,0,0,4,,
KLUSTER SAUH,"Melaka,Sabah,Sarawak","JASIN, KOTA KINABALU, TAWAU, SEMPORNA, PAPAR, TUARAN, MIRI & DARO ",22/10/2020,14/11/2020,workplace,ended,0,35,0,408,0,0,35,,
KLUSTER TINUSA,Sabah,SANDAKAN,22/10/2020,22/12/2020,community,ended,0,70,0,622,0,1,69,,
KLUSTER JAYA," Negeri Sembilan,Selangor","SEREMBAN, SEPANG, KUALA LANGAT & GOMBAK",23/10/2020,12/2/2020,workplace,ended,0,138,0,697,0,0,138,,
KLUSTER PALMA,"Selangor,W.P. Kuala Lumpur","GOMBAK, HULU SELANGOR & KEPONG",23/10/2020,11/7/2020,workplace,ended,0,22,0,116,0,0,22,,
KLUSTER SAMUDERA,Sabah,SANDAKAN,23/10/2020,20/12/2020,workplace,ended,0,79,0,259,0,0,79,,
KLUSTER BAKI," Perak,Sarawak","KUCHING, KINTA, LARUT MATANG & SELAMA",24/10/2020,11/6/2020,community,ended,0,46,0,3141,0,0,46,,
KLUSTER KEMPAS,Johor,"JOHOR BAHRU, KULAI, PONTIAN & KLUANG",24/10/2020,11/9/2020,education,ended,0,55,0,1824,0,0,55,,
KLUSTER BAH KAYU,"Selangor,W.P. Kuala Lumpur",GOMBAK & TITIWANGSA,24/10/2020,23/10/2020,workplace,ended,0,19,0,692,0,0,19,,
KLUSTER MEGAH,Sabah,SANDAKAN & KOTA KINABALU,24/10/2020,31/10/2020,community,ended,0,29,0,65,0,1,28,,
KLUSTER MESRA,Sabah,SANDAKAN,24/10/2020,20/12/2020,community,ended,0,223,0,1186,0,2,221,,
KLUSTER KAYA,"Johor,Kelantan,Melaka,Negeri Sembilan,Perak,Selangor,W.P. Kuala Lumpur,W.P. Putrajaya","SEREMBAN, PORT DICKSON, KUALA PILAH, REMBAU, LEMBAH PANTAI, CHERAS, TITIWANGSA, KEPONG, PUTRAJAYA, MELAKA TENGAH, SEPANG, KLANG KUALA LANGAT, KUALA SELANGOR, PETALING, HULU LANGAT, KLUANG, KOTA TINGGI, KOTA BHARU, TANAH MERAH & MANJUNG",24/10/2020,23/12/2020,workplace,ended,0,1079,0,4797,0,2,1077,,
KLUSTER BANDARAN,Sabah,"KOTA KINABALU, PAPAR & PENAMPANG",25/10/2020,11/5/2020,workplace,ended,0,18,0,72,0,0,18,,
KLUSTER SELADAH,Sarawak,KUCHING & SERIAN ,25/10/2020,11/6/2020,community,ended,0,9,0,216,0,0,9,,
KLUSTER MAKEKAR,"Selangor,Terengganu","KEMAMAN, DUNGUN, KUALA TERENGGANU, MARANG, BESUT, KUALA NERUS & KLANG",25/10/2020,11/7/2020,workplace,ended,0,62,0,5291,0,0,62,,
KLUSTER TITIR,Sabah,KENINGAU,25/10/2020,11/9/2020,workplace,ended,0,144,0,2005,0,0,144,,
KLUSTER JAMBUL,Sabah,SANDAKAN,25/10/2020,25/10/2020,community,ended,0,13,0,49,0,0,13,,
KLUSTER OMADAL,Sabah,SEMPORNA,25/10/2020,29/10/2020,community,ended,0,35,0,216,0,0,35,,
KLUSTER MENTARI,"Negeri Sembilan,Selangor,W.P. Kuala Lumpur","PETALING, KLANG, GOMBAK, HULU LANGAT, SEREMBAN & KEPONG",25/10/2020,18/11/2020,community,ended,0,35,0,122,0,1,34,,
KLUSTER BAYAN,"Kedah,Pulau Pinang,Perak","TIMUR LAUT, BARAT DAYA, SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN, BANDAR BAHARU,  KUBANG PASU, KUALA MUDA, KULIM, KOTA SETAR, KERIAN, LARUT MATANG & SELAMA ",25/10/2020,22/11/2020,workplace,ended,0,167,0,3468,0,0,167,,
KLUSTER JERNIH," Negeri Sembilan,Selangor","SEREMBAN, PORT DICKSON, SEPANG & KUALA LANGAT",25/10/2020,30/11/2020,workplace,ended,0,77,0,371,0,0,77,,
KLUSTER KAPOR,Sabah,KUDAT ,26/10/2020,11/1/2020,community,ended,0,59,0,219,0,0,59,,
KLUSTER PENJARA TAPAH,Perak,BATANG PADANG,26/10/2020,11/1/2020,detentionCentre,ended,0,14,0,4249,0,0,14,,
KLUSTER HAMPAR,Negeri Sembilan,REMBAU ,26/10/2020,25/10/2020,education,ended,0,5,0,671,0,0,5,,
KLUSTER LINTAS,Sabah,KOTA KINABALU,27/10/2020,11/11/2020,workplace,ended,0,14,0,33,0,0,14,,
KLUSTER LIMBUNGAN,W.P. Labuan,LABUAN,27/10/2020,13/11/2020,workplace,ended,0,54,0,383,0,0,54,,
KLUSTER BAYU,Johor,JOHOR BAHRU & MUAR ,28/10/2020,27/10/2020,community,ended,0,8,0,146,0,0,8,,
KLUSTER IDAMAN,"Selangor,W.P. Kuala Lumpur","PETALING, GOMBAK, TITIWANGSA & CHERAS",28/10/2020,27/10/2020,highRisk,ended,0,11,0,491,0,0,11,,
KLUSTER SERI GAYA,Sabah,KOTA KINABALU & TUARAN ,28/10/2020,28/10/2020,community,ended,0,18,0,142,0,0,18,,
KLUSTER GREENHILL,Sarawak,"KUCHING, MIRI & BINTULU",28/10/2020,15/11/2020,community,ended,0,91,0,1556,0,0,91,,
KLUSTER TUGUSON,Sabah,KOTA BELUD,29/10/2020,28/10/2020,education,ended,0,18,0,170,0,0,18,,
KLUSTER SAKTI,Sabah,LAHAD DATU,29/10/2020,21/11/2020,community,ended,0,28,0,1491,0,0,28,,
KLUSTER TAMAN LAUT,Selangor,PETALING & KLANG,29/10/2020,11/12/2020,workplace,ended,0,30,0,124,0,0,30,,
KLUSTER TAMAN BUNGA,Negeri Sembilan,"SEREMBAN, KUALA PILAH, JELEBU & JEMPOL",29/10/2020,13/12/2020,workplace,ended,0,66,0,1659,0,0,66,,
KLUSTER BAH MEDAN,Selangor,SEPANG ,29/10/2020,17/12/2020,community,ended,0,65,0,1028,0,0,65,,
KLUSTER MELDRUM,Johor,"JOHOR BAHRU, KOTA TINGGI & TANGKAK",30/10/2020,11/1/2020,community,ended,0,7,0,369,0,0,7,,
KLUSTER MERPATI,"Selangor,W.P. Kuala Lumpur","SEPANG, GOMBAK, KUALA LANGAT, CHERAS & KEPONG",30/10/2020,11/7/2020,workplace,ended,0,52,0,168,0,0,52,,
KLUSTER SEMBULAN,Sabah,KOTA KINABALU,30/10/2020,11/8/2020,workplace,ended,0,13,0,99,0,0,13,,
KLUSTER GALA,Negeri Sembilan,JELEBU & SEREMBAN ,30/10/2020,11/10/2020,highRisk,ended,0,15,0,366,0,0,15,,
KLUSTER TELIPOK,Sabah,KOTA KINABALU & TUARAN,30/10/2020,11/11/2020,workplace,ended,0,22,0,164,0,0,22,,
KLUSTER ASTAKA," Pahang, Selangor","PETALING, HULU LANGAT, SEPANG, KUALA SELANGOR, KLANG & MARAN",30/10/2020,26/11/2020,workplace,ended,0,64,0,256,0,0,64,,
KLUSTER RUMAH MERAH,Sabah,KOTA KINABALU,30/10/2020,12/12/2020,detentionCentre,ended,0,791,0,1797,0,2,789,,
KLUSTER TITIAN,W.P. Labuan,LABUAN ,30/10/2020,23/1/2021,community,ended,0,87,0,971,0,3,84,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR BESAR JALAN OTHMAN,"Selangor,W.P. Kuala Lumpur","KEPONG, GOMBAK & PETALING",5/11/2020,26/4/2020,religious,ended,0,28,0,867,0,0,28,,
